"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 14:10:38 GMT 2023","Wed Nov 22 14:10:41 GMT 2023","2270","","test_goto","","","","Мониторинг сетевых запросов",""
"passed","Wed Nov 22 14:10:06 GMT 2023","Wed Nov 22 14:10:38 GMT 2023","32408","","test_goto","","","","Полный флоу юзера на израелькарте",""
